Name,TRU,No_HH,TOT_P,P_LIT,Unnamed: 5,LITERACYRATE,HOUSEHOLDSIZE
KUPWARA,Total,113929,870354,439654,,50.5143884,7.639442109
KUPWARA,Rural,101930,765625,374998,,48.97933061,7.511282253
KUPWARA,Urban,11999,104729,64656,,61.73648178,8.728144012
BADGAM,Total,103363,753745,335649,,44.53084266,7.292212881
BADGAM,Rural,89417,655833,278265,,42.42924647,7.334544885
BADGAM,Urban,13946,97912,57384,,58.60772939,7.020794493
LEH LADAKH,Total,21909,133487,93770,,70.24654086,6.092792916
LEH LADAKH,Rural,14905,87816,56789,,64.66816981,5.89171419
LEH LADAKH,Urban,7004,45671,36981,,80.97260844,6.520702456
KARGIL,Total,18338,140802,86236,,61.24628912,7.678154652
KARGIL,Rural,16147,124464,73896,,59.3713845,7.708181086
KARGIL,Urban,2191,16338,12340,,75.52944057,7.45686901
PUNCH,Total,90261,476835,261724,,54.88774943,5.282846412
PUNCH,Rural,83045,438205,231541,,52.83851166,5.276717442
PUNCH,Urban,7216,38630,30183,,78.13357494,5.353381375
RAJOURI,Total,130401,642415,364109,,56.67815976,4.926457619
RAJOURI,Rural,122645,590101,321210,,54.43305468,4.811455828
RAJOURI,Urban,7756,52314,42899,,82.00290553,6.744971635
KATHUA,Total,119583,616435,389204,,63.13788153,5.154871512
KATHUA,Rural,101651,526722,320364,,60.82221741,5.181670618
KATHUA,Urban,17932,89713,68840,,76.73358376,5.00295561
BARAMULA,Total,152635,1008039,545149,,54.08014968,6.604245422
BARAMULA,Rural,125346,825539,423193,,51.26262963,6.586081726
BARAMULA,Urban,27289,182500,121956,,66.82520548,6.687676353
BANDIPORE,Total,58392,392232,185979,,47.41556018,6.717221537
BANDIPORE,Rural,48794,326871,148187,,45.33500984,6.698999877
BANDIPORE,Urban,9598,65361,37792,,57.82041278,6.80985622
SRINAGAR,Total,191678,1236829,748584,,60.52445407,6.452639322
SRINAGAR,Rural,2844,17313,7928,,45.79217929,6.087552743
SRINAGAR,Urban,188834,1219516,740656,,60.73360251,6.458137835
GANDERBAL,Total,45361,297446,143276,,48.16874323,6.557306938
GANDERBAL,Rural,38395,250407,117480,,46.91562137,6.521864826
GANDERBAL,Urban,6966,47039,25796,,54.83960118,6.752655757
PULWAMA,Total,86241,560440,293958,,52.45128827,6.49853318
PULWAMA,Rural,75587,479978,245179,,51.08129956,6.350007276
PULWAMA,Urban,10654,80462,48779,,60.62364843,7.552280833
SHUPIYAN,Total,44411,266215,136500,,51.27434592,5.994348247
SHUPIYAN,Rural,41858,249855,125256,,50.13147626,5.969109848
SHUPIYAN,Urban,2553,16360,11244,,68.72860636,6.408147278
ANANTNAG,Total,153640,1078692,545532,,50.57347232,7.020906014
ANANTNAG,Rural,117648,795805,375859,,47.23003751,6.764288386
ANANTNAG,Urban,35992,282887,169673,,59.97907292,7.859718826
KULGAM,Total,73728,424483,209085,,49.25638954,5.757419162
KULGAM,Rural,59922,343870,163112,,47.43420479,5.738626882
KULGAM,Urban,13806,80613,45973,,57.02926327,5.838983051
DODA,Total,79636,409936,219083,,53.44322041,5.147621679
DODA,Rural,72917,377247,194550,,51.57098665,5.173649492
DODA,Urban,6719,32689,24533,,75.04971091,4.865158506
RAMBAN,Total,55490,283713,124065,,43.72905013,5.112867183
RAMBAN,Rural,53328,271902,115194,,42.36599951,5.098672367
RAMBAN,Urban,2162,11811,8871,,75.10795022,5.462997225
KISHTWAR,Total,45209,230696,107506,,46.6007213,5.102877746
KISHTWAR,Rural,42499,215831,96112,,44.53113779,5.078495965
KISHTWAR,Urban,2710,14865,11394,,76.64984864,5.485239852
UDHAMPUR,Total,99240,554985,322354,,58.08337162,5.592351874
UDHAMPUR,Rural,78887,446777,236882,,53.0201868,5.663506028
UDHAMPUR,Urban,20353,108208,85472,,78.98861452,5.316562669
REASI,Total,56689,314667,150542,,47.84168661,5.550759407
REASI,Rural,51659,287671,131328,,45.65215124,5.568652123
REASI,Urban,5030,26996,19214,,71.17350719,5.366998012
JAMMU,Total,314199,1529958,1137135,,74.3245893,4.869391691
JAMMU,Rural,159291,764945,524881,,68.61682866,4.802185936
JAMMU,Urban,154908,765013,612254,,80.0318426,4.93849898
SAMBA,Total,65385,318898,228139,,71.5398027,4.87723484
SAMBA,Rural,54718,265283,185746,,70.01805619,4.848185241
SAMBA,Urban,10667,53615,42393,,79.06929031,5.02624918
CHAMBA,Total,102460,519080,323842,,62.38768591,5.066172165
CHAMBA,Rural,94596,482972,293683,,60.80745882,5.105628145
CHAMBA,Urban,7864,36108,30159,,83.52442672,4.59155646
KANGRA,Total,338887,1510075,1152640,,76.32998361,4.455983853
KANGRA,Rural,318379,1423794,1082442,,76.02518342,4.472009775
