id,pin,age,gender,marital_status,city,state,residence_ownership,target_income,device_model,device_category,platform,device_manufacturer
LOA-N2R13L12,812004,28.0,MALE, ,Bhagalpur,Bihar,,13773.0,SM-A135F,SMART PHONE,ANDROID,samsung
LFHE1YBH,394365,38.0,MALE, ,Tapi,Gujarat,,22466.5,CPH1933,SMART PHONE,ANDROID,oppo
LOA-BQYE33Y5,560100,23.0,MALE, ,Bangalore,Karnataka,,30191.5,,,ANDROID,xiaomi
LOA-1ZPEX6BB,211003,38.0,MALE, ,Allahabad,Uttar Pradesh,SELF-OWNED,12371.0,1915,SMART PHONE,ANDROID,vivo
LOA-SNVU4KP8,753008,26.0,MALE, ,Cuttack,Odisha,,23013.0,CPH2381,SMART PHONE,ANDROID,oneplus
A1BLSD6A,508210,25.0,MALE, ,Nalgonda,Telangana,SELF-OWNED,18617.0,CPH2569,SMART PHONE,ANDROID,oneplus
SGN1ISUQ,476001,42.0,MALE, ,Morena,Madhya Pradesh,SELF-OWNED,22125.0,RMX3241,SMART PHONE,ANDROID,realme
LOA-CD47R5PF,423605,24.0,FEMALE, ,Anjanapur,Maharashtra,RENTED,39143.5,CPH2467,SMART PHONE,ANDROID,oneplus
LOA-16488U5M,673513,40.0,MALE, ,Kozhikode,Kerala,,22960.0,SM-A156E/DSN,SMART PHONE,ANDROID,samsung
LOA-E31MFQHJ,201005,26.0,MALE, ,Ghaziabad,Uttar Pradesh,SELF-OWNED,23777.5,,,,
LOA-2PGYDD5P,248006,23.0,MALE, ,Dehradun,Uttarakhand,,14500.0,SM-N770F,SMART PHONE,ANDROID,samsung
LOA-YFH9QHY1,110091,25.0,FEMALE, ,East Delhi,Delhi,RENTED,29250.0,22041219I,SMART PHONE,ANDROID,xiaomi
LOA-YFH9QHY1,110091,25.0,FEMALE, ,East Delhi,Delhi,RENTED,29250.0,22111317I,SMART PHONE,ANDROID,xiaomi
LOA-LA1DV2CD,182101,29.0,MALE, ,Udhampur,Jammu and Kashmir,,20315.5,SM-A146B/DS,SMART PHONE,ANDROID,samsung
ED9XFU16,441302,29.0,FEMALE, ,Nagpur,Maharashtra,SELF-OWNED,37934.5,,,ANDROID,xiaomi
ED9XFU16,441302,29.0,FEMALE, ,Nagpur,Maharashtra,SELF-OWNED,37934.5,RMX3710,SMART PHONE,ANDROID,realme
6IC7NUZ1,110094,35.0,MALE, ,New Delhi,Delhi,,41312.0,CPH2467,SMART PHONE,ANDROID,oneplus
LOA-S6LB8PV5,700026,52.0,FEMALE, ,Kolkata,West Bengal,SELF-OWNED,301707.0,MT2111,SMART PHONE,ANDROID,oneplus
DKENUDD9,244001,49.0,MALE, ,Moradabad,Uttar Pradesh,,43575.0,SM-A715F,SMART PHONE,ANDROID,samsung
Y28L491S,560058,28.0,MALE, ,Bengaluru,Karnataka,,16500.0,CPH2495,SMART PHONE,ANDROID,oppo
LOA-3D74CJ5H,440009,26.0,MALE, ,Nagpur,Maharashtra,,31825.0,SM-A346E/DSN,SMART PHONE,ANDROID,samsung
LOA-1FPA9ZY7,248140,28.0,MALE, ,Dehradun,Uttarakhand,,16919.5,CPH2127,SMART PHONE,ANDROID,oppo
LOA-ZBTY8DA3,523157,28.0,MALE, ,Prakasam,Andhra Pradesh,SELF-OWNED,91276.0,SM-A546E,SMART PHONE,ANDROID,samsung
MJR665MM,562135,29.0,MALE, ,Bangalore Rural,Karnataka,RENTED,35558.5,V2225,SMART PHONE,ANDROID,vivo
LOA-82B5U3YB,521212,54.0,MALE, ,VIJAYAWADA,Andhra Pradesh,,53877.0,2201116PI,SMART PHONE,ANDROID,xiaomi
ANEZSVNQ,534350,22.0,MALE, ,West Godavari,Andhra Pradesh,,17900.0,,,,
LOA-D7VTEYDK,743127,37.0,MALE, ,24PARGANAS,West Bengal,SELF-OWNED,16718.0,RMX2193,SMART PHONE,ANDROID,realme
2SSF6SQN,700047,30.0,MALE, ,Kolkata,West Bengal,SELF-OWNED,50471.0,CPH2401,SMART PHONE,ANDROID,oneplus
4BSPC357,110092,28.0,MALE, ,Delhi,Delhi,SELF-OWNED,35000.0,M2003J15SC,SMART PHONE,ANDROID,xiaomi
LOA-6SGZAYAZ,400104,26.0,MALE, ,Mumbai,Maharashtra,SELF-OWNED,37747.0,V2130,SMART PHONE,ANDROID,vivo
HY9HXKVQ,624613,29.0,MALE, ,Dindigul,Tamil Nadu,,18789.0,SM-E225F,SMART PHONE,ANDROID,samsung
HY9HXKVQ,624613,29.0,MALE, ,Dindigul,Tamil Nadu,,18789.0,V2143,SMART PHONE,ANDROID,vivo
PGZXDUXI,754140,45.0,MALE, ,JAgatsinghpur,Odisha,SELF-OWNED,116437.0,SM-E236B/DS,SMART PHONE,ANDROID,samsung
5IV68Y5V,500076,41.0,FEMALE, ,Hyderabad,Telangana,SELF-OWNED,47480.0,,,,
LOA-1286DAYF,495001,38.0,MALE, ,Bilaspur,Chattisgarh,RENTED,238844.0,,,,
LOA-FV6Y1U3P,221401,26.0,MALE, ,Sant Ravidas Nagar,Uttar Pradesh,,81829.5,M2103K19I,SMART PHONE,ANDROID,xiaomi
LOA-BP9LXB6D,410501,33.0,MALE, ,Pune,Maharashtra,,20330.0,,,,
LOA-2G3Q1CXK,171004,38.0,MALE, ,Shimla,Himachal Pradesh,,62617.5,1938,SMART PHONE,ANDROID,vivo
LOA-C9AER2Y8,641666,22.0,MALE, ,Tiruppur,Tamil Nadu,RENTED,16519.5,,,,
LOA-SUEGKRXD,211016,54.0,, ,Allahabad,Uttar Pradesh,,33915.0,,,,
LOA-URDVVFJ6,301707,23.0,FEMALE, ,Alwar,Rajasthan,SELF-OWNED,13103.0,,,,
LOA-MRQKKDSH,301001,27.0,MALE, ,Alwar,Rajasthan,,24062.0,,,,
LOA-AD53RGN5,135001,24.0,MALE, ,Yamunanagar,Haryana,,40000.0,SM-A546E,SMART PHONE,ANDROID,samsung
5I7UZ55L,785112,23.0,MALE, ,Jorhat,Assam,SELF-OWNED,12137.5,RMX3511,SMART PHONE,ANDROID,realme
LOA-N1E9L5CU,401107,26.0,MALE, ,Thane,Maharashtra,,16005.0,CPH2401,SMART PHONE,ANDROID,oneplus
LOA-SEPPC32N,517126,32.0,MALE, ,Chittoor ,Andhra Pradesh,SELF-OWNED,69298.0,1951,SMART PHONE,ANDROID,vivo
LOA-9B6TKFLS,440002,22.0,MALE, ,Nagpur,Maharashtra,,13416.5,K33a42,SMART PHONE,ANDROID,lenovo
6YNBVNXS,262554,26.0,MALE, ,Pithoragarh,Uttarakhand,,23538.5,,,ANDROID,xiaomi
LOA-5BS775ZJ,600023,54.0,MALE, ,Chennai,Tamil Nadu,SELF-OWNED,20063.0,,,,
LOA-AVY65T1U,249407,42.0,MALE, ,HARDWAR,Uttarakhand,,86215.0,1814,SMART PHONE,ANDROID,vivo
LOA-48U5HSAG,524201,38.0,MALE, ,Nellore,Andhra Pradesh,SELF-OWNED,62102.0,V2058,SMART PHONE,ANDROID,vivo
LOA-FPNGMSEN,500004,44.0,MALE, ,Hyderabad,Telangana,,39800.0,V2040,SMART PHONE,ANDROID,vivo
LOA-6CVJ5J8Q,531011,28.0,MALE, ,Lalamkoduru,Andhra Pradesh,SELF-OWNED,24392.0,CPH2487,SMART PHONE,ANDROID,oneplus
LOA-DXJDYTG4,533124,21.0,FEMALE, ,East Godavari,Andhra Pradesh,SELF-OWNED,26213.0,23076RN4BI,SMART PHONE,ANDROID,xiaomi
NTER24AZ,523001,26.0,MALE, ,Ongole,Andhra Pradesh,,24297.0,,,,
LOA-X5RPC2P7,110021,26.0,MALE, ,Delhi,Delhi,,23184.5,V2152,SMART PHONE,ANDROID,vivo
U5MY5195,641606,46.0,MALE, ,Coimbatore,Tamil Nadu,RENTED,36000.0,CPH2239,SMART PHONE,ANDROID,oppo
