pincode,district,latitude,longitude
110001,NEW DELHI,28.2348611,77.2348611
110002,CENTRAL,28.6284722,77.2445556
110003,SOUTH WEST,28.5889167,77.2442778
110004,NEW DELHI,28.6210833,77.1961389
110005,CENTRAL,28.6614722,77.1780556
110006,NORTH,28.662197,77.235397
110007,NORTH,28.6872778,77.1936111
110008,WEST,28.6527778,77.1558889
110009,NORTH,28.7108611,77.2158333
110010,NEW DELHI,28.57,77.13
110011,NEW DELHI,28.6108611,77.2148611
110012,WEST,28.6368611,77.1696111
110013,SOUTH,28.58775,77.2505833
110014,SOUTH,28.58,77.26
110015,WEST,28.662345,77.141081
110016,SOUTH,28.5558611,77.2021389
110017,SOUTH,28.5245556,77.2204444
110018,WEST,28.6463611,77.0990556
110019,SOUTH WEST,28.5498056,77.3210556
110020,SOUTH WEST,28.551707,77.275149
110021,NEW DELHI,28.5807778,77.1727222
110022,NEW DELHI,28.5615556,77.1792222
110023,NEW DELHI,28.575476,77.199648
110024,SOUTH WEST,28.5631667,77.24875
110025,SOUTH,28.5618611,77.26825
110026,WEST,28.6678611,77.1434444
110027,WEST,28.6371111,77.1098889
110028,NEW DELHI,28.632141,77.138852
110029,SOUTH,28.5664228,77.1998703
110030,SOUTH,28.5176111,77.1793611
110031,SAHARSA,28.653,77.2741667
110032,SAHARSA,28.6546944,77.2973611
110033,NORTH,28.72775,77.1636111
110034,NORTH WEST,28.6819167,77.1366667
110035,NORTH WEST,28.6921111,77.1578611
110036,NORTH,28.7978055,77.13
110037,NEW DELHI,28.5556389,77.0845556
110038,NEW DELHI,28.52,77.09
110039,NORTH,28.7996944,77.0380555
110040,NORTH,28.8508055,77.0880555
110041,WEST,28.656128,77.040683
110042,NORTH,28.7441111,77.145
110043,WEST,28.520905,76.964011
110044,SOUTH,28.5,77.3
110045,SOUTH WEST,28.609675,77.089542
110046,NEW DELHI,28.6110556,77.1029167
110047,SOUTH,28.46,77.15
110048,SOUTH,28.5376667,77.2381389
110049,SOUTH WEST,28.561709,77.211224
110051,EAST,28.6453611,77.2871111
110052,NORTH WEST,28.6726389,77.1811111
110053,NORTH EAST,28.69225,77.3042222
110054,CENTRAL,28.697557,77.225067
110055,CENTRAL,28.6401667,77.2129167
